id;id_line;plant;shop;date_of_validation;validation_result;visual_inspection;oem_checklist;cable_certification_for_relevant_cabling;number_of_profinet_devices;number_of_devices;additional_checks_for_frame_errors;number_of_scp;max_traffic_load_on_the_network;max_traffic_load_on_the_network_percent;max_profinet_traffic_load_on_the_network;max_profinet_traffic_load_on_the_network_percent;plc_count;rings_count
104;101;P;BODY;T006;FAIL;Yes - Fail;Pass;Yes - Fail;155;155;;3;22.719;11.3595;22.64;11.32;3;1
106;103;P;BODY;T006;FAIL;Yes - Fail;Pass;Yes - Fail;156;156;;2;26.777;13.3885;26.659;13.3295;2;1
107;104;P;BODY;T006;FAIL;Yes - Fail;Pass;Yes - Fail;63;63;;1;29.632;14.816;29.552;14.776;1;1
114;111;P;BODY;T006;FAIL;Yes - Fail;Pass;Yes - Fail;29;29;;1;12.52;6.26;11.513;5.7565;1;1
118;115;P;BODY;T006;FAIL;Yes - Fail;Pass;Yes - Fail;26;26;;1;9.97;4.985;9.713;4.8565;1;1
119;116;P;BODY;T006;FAIL;Yes - Fail;Pass;Yes - Fail;36;36;;1;20.198;10.099;20.07;10.035;1;1
125;122;P;BODY;T006;FAIL;Yes - Fail;Fail;Yes - Pass;149;149;;1;55.681;27.8405;55.385;27.6925;1;1
126;123;P;BODY;T006;FAIL;Yes - Fail;Fail;Yes - Pass;103;103;;1;23.078;11.539;22.363;11.1815;1;1
127;124;P;BODY;T006;FAIL;Yes - Fail;Fail;Yes - Pass;49;49;;1;9.807;4.9035;8.998;4.499;1;1
128;125;P;BODY;T006;FAIL;Yes - Fail;Fail;Yes - Pass;42;42;;1;7.143;3.5715;6.832;3.416;1;1
129;126;P;BODY;T006;FAIL;Yes - Fail;Fail;Yes - Fail;76;76;;1;15.094;7.547;14.048;7.024;1;1
130;127;P;BODY;T006;FAIL;Yes - Fail;Fail;Yes - Fail;107;107;;1;20.868;10.434;20.201;10.1005;1;1
131;128;P;BODY;T006;FAIL;Yes - Fail;Fail;Yes - Fail;142;142;;1;39.655;19.8275;39.063;19.5315;1;1
132;129;P;BODY;T006;FAIL;Yes - Fail;Fail;Yes - Fail;55;55;;1;14.639;7.3195;14.103;7.0515;1;1
410;407;O;ASSEMBLY;T006;FAIL;;;Yes - Pass;27;28;;1;14.467;7.2335;14.389;7.1945;1;0
411;408;O;ASSEMBLY;T006;FAIL;;;Yes - Pass;27;27;;1;14.473;7.2365;14.387;7.1935;1;0
412;409;O;ASSEMBLY;T006;FAIL;;;Yes - Pass;27;27;;1;14.466;7.233;14.389;7.1945;1;0
413;410;O;ASSEMBLY;T006;FAIL;;;Yes - Pass;10;10;;1;3.602;1.801;3.545;1.7725;1;0
414;411;O;ASSEMBLY;T006;FAIL;;;Yes - Pass;10;10;;1;3.612;1.806;3.541;1.7705;1;0
486;483;G;BODY;T002;FAIL;;;PASS;119;128;YES - FAIL;1;25.915;12.9575;25.601;12.8005;2;1
681;678;H;ASSEMBLY;T003;FAIL;;;FAIL;53;54;N.A.;1;5.687;2.8435;4.912;2.456;1;2
287;284;E;BODY;T002;INCOMPLETE;;;NO;85;85;NO;1;21.322;0;20.526;0;0;0
478;475;G;BODY;T002;INCOMPLETE;;;PASS;;;N.A.;1;3.859;1.9295;3.729;1.8645;1;1
682;679;I;BODY;T003;INCOMPLETE;;;PASS;;15;YES - PASS;1;4.645;2.3225;4.132;2.066;1;0
695;692;I;BODY;T003;INCOMPLETE;;;PASS;84;82;YES - PASS;1;24.161;12.0805;23.525;11.7625;0;0
153;150;M;ASSEMBLY;T006;DISMISSED;;;Yes - Pass;26;26;;1;0;0;0;0;1;0
176;173;M;ASSEMBLY;T006;DISMISSED;;;Yes - Pass;12;12;;1;0;0;0;0;1;1
177;174;M;ASSEMBLY;T006;DISMISSED;;;Yes - Pass;12;12;;1;0;0;0;0;1;1
178;175;M;ASSEMBLY;T006;DISMISSED;;;Yes - Pass;12;12;;1;0;0;0;0;1;1
179;176;M;ASSEMBLY;T006;DISMISSED;;;Yes - Pass;12;12;;1;0;0;0;0;1;0
180;177;M;ASSEMBLY;T006;DISMISSED;;;Yes - Pass;12;12;;1;0;0;0;0;1;0
181;178;M;ASSEMBLY;T006;DISMISSED;;;Yes - Pass;12;12;;1;0;0;0;0;1;0
182;179;M;ASSEMBLY;T006;DISMISSED;;;Yes - Pass;12;12;;1;0;0;0;0;1;0
183;180;M;ASSEMBLY;T006;DISMISSED;;;Yes - Pass;12;12;;1;0;0;0;0;1;0
184;181;M;ASSEMBLY;T006;DISMISSED;;;Yes - Pass;12;12;;1;0;0;0;0;1;0
185;182;M;ASSEMBLY;T006;DISMISSED;;;Yes - Pass;12;12;;1;0;0;0;0;1;0
186;183;M;ASSEMBLY;T006;DISMISSED;;;Yes - Pass;12;12;;1;0;0;0;0;1;0
187;184;M;ASSEMBLY;T006;DISMISSED;;;Yes - Pass;12;12;;1;0;0;0;0;1;0
